node_id,day,tilt_deg,displacement_mm,strain_microstrain,vibration_mms,risk_score_reference,status_reference
Node02,70,0.777,0.96,20.58,1.123,16.8,NORMAL
Node02,71,0.672,1.1,17.28,1.165,15.8,NORMAL
Node02,72,0.687,1.178,16.11,1.199,15.8,NORMAL
Node02,73,0.747,1.176,19.21,1.141,16.9,NORMAL
Node02,74,0.642,1.5,12.54,1.102,15.0,NORMAL
Node02,75,0.663,1.395,15.15,1.112,15.7,NORMAL
Node02,76,0.786,1.079,13.41,1.297,15.5,NORMAL
Node02,77,0.682,1.377,19.04,1.157,17.1,NORMAL
Node02,78,0.638,1.004,19.1,1.389,16.6,NORMAL
Node02,79,0.8,1.014,14.32,1.141,15.1,NORMAL
Node02,80,0.697,1.235,19.33,1.245,17.2,NORMAL
Node02,81,0.895,1.072,18.84,1.236,17.5,NORMAL
Node02,82,0.743,1.282,26.51,1.112,19.4,NORMAL
Node02,83,0.758,1.215,22.87,1.095,18.0,NORMAL
Node02,84,0.665,0.5,25.81,4.131,26.6,WATCH
Node02,85,0.694,0.642,22.41,1.137,16.1,NORMAL
Node02,86,0.75,1.469,20.76,1.283,18.7,NORMAL
Node02,87,0.661,0.969,13.07,1.198,14.1,NORMAL
Node02,88,0.654,0.555,20.63,1.398,16.0,NORMAL
Node02,89,0.726,1.416,18.75,1.102,17.2,NORMAL
Node02,90,0.7,1.048,15.73,1.342,15.9,NORMAL
Node02,91,0.708,0.973,20.37,1.204,16.7,NORMAL
Node02,92,0.742,1.523,17.54,1.082,17.1,NORMAL
Node02,93,0.8,1.718,17.58,1.115,18.0,NORMAL
Node02,94,0.605,1.132,20.08,1.191,16.5,NORMAL
Node02,95,0.759,0.935,17.64,1.076,15.6,NORMAL
Node02,96,0.801,1.398,24.26,1.124,19.3,NORMAL
Node02,97,0.797,1.207,22.22,1.29,18.7,NORMAL
Node02,98,0.672,1.096,14.38,1.159,14.8,NORMAL
Node02,99,0.679,0.856,20.07,1.372,16.7,NORMAL
Node02,100,0.659,0.903,16.76,1.245,15.2,NORMAL
Node02,101,0.828,1.178,19.92,1.079,17.3,NORMAL
Node02,102,0.721,1.291,18.31,1.221,17.0,NORMAL
Node02,103,0.646,1.318,24.36,1.268,18.8,NORMAL
Node02,104,0.734,1.151,17.48,1.134,16.2,NORMAL
Node02,105,0.665,1.167,19.68,1.342,17.3,NORMAL
Node02,106,0.751,1.501,22.39,1.196,19.0,NORMAL
Node02,107,0.702,0.744,25.48,1.156,17.5,NORMAL
Node02,108,0.664,1.582,15.95,1.152,16.6,NORMAL
Node02,109,0.69,0.999,19.98,1.253,16.7,NORMAL
Node02,110,0.742,1.114,22.07,1.186,17.7,NORMAL
Node02,111,0.74,1.427,13.65,1.199,16.0,NORMAL
Node02,112,0.707,0.682,9.05,1.261,12.5,NORMAL
Node02,113,0.645,1.332,19.59,1.224,17.2,NORMAL
Node02,114,0.667,1.166,16.47,1.165,15.7,NORMAL
Node02,115,0.752,1.08,21.34,1.224,17.6,NORMAL
Node02,116,0.667,0.906,22.49,1.129,16.7,NORMAL
Node02,117,0.72,0.763,20.49,1.27,16.4,NORMAL
Node02,118,0.643,0.748,18.99,1.237,15.4,NORMAL
Node02,119,0.651,0.977,22.66,1.212,17.2,NORMAL
Node02,120,0.659,1.346,19.42,1.144,17.0,NORMAL
Node02,121,0.755,1.054,22.67,1.147,17.7,NORMAL
Node02,122,0.713,1.44,21.02,1.283,18.5,NORMAL
Node02,123,0.789,1.264,23.25,1.126,18.5,NORMAL
Node02,124,0.807,1.494,17.55,1.372,18.3,NORMAL
Node02,125,1.019,1.753,23.67,1.185,21.4,NORMAL
Node02,126,0.856,1.34,25.93,1.39,20.8,NORMAL
Node02,127,1.261,1.577,23.07,1.331,22.4,NORMAL
Node02,128,1.385,1.892,24.4,1.036,23.3,NORMAL
Node02,129,1.315,2.336,22.81,1.372,24.8,NORMAL
Node02,130,1.695,2.69,30.61,1.62,31.0,WATCH
Node02,131,1.897,2.622,35.15,1.405,32.6,WATCH
Node02,132,1.941,2.21,35.0,1.526,32.0,WATCH
Node02,133,2.18,3.174,34.52,1.382,35.2,WATCH
Node02,134,2.032,2.3,31.67,1.509,31.6,WATCH
Node02,135,1.761,3.389,36.99,1.577,35.2,WATCH
Node02,136,2.071,2.729,44.24,1.474,36.8,WATCH
Node02,137,2.286,3.388,36.84,1.553,37.7,WATCH
Node02,138,2.697,3.333,38.41,1.88,41.1,WATCH
Node02,139,2.809,3.505,49.21,1.617,44.7,WATCH
Node02,140,2.643,3.739,46.22,2.215,45.6,WATCH
Node02,141,3.147,4.52,43.81,2.369,50.0,WATCH
Node02,142,3.727,5.343,40.91,2.718,55.5,WARNING
Node02,143,2.88,4.431,49.97,1.855,48.7,WATCH
Node02,144,3.339,6.231,51.37,2.109,57.3,WARNING
Node02,145,4.172,5.107,44.59,2.136,56.2,WARNING
Node02,146,4.377,6.445,57.24,2.272,65.4,WARNING
Node02,147,3.4,7.399,49.6,2.873,62.8,WARNING
Node02,148,5.415,6.313,55.59,2.851,71.7,WARNING
Node02,149,4.486,6.985,58.76,2.13,67.5,WARNING
Node02,150,3.695,6.798,65.77,3.032,68.2,WARNING
Node02,151,5.884,8.607,72.58,2.467,84.5,CRITICAL
Node02,152,5.299,8.162,56.34,2.485,75.2,CRITICAL
Node02,153,6.463,7.352,73.79,3.405,85.1,CRITICAL
Node02,154,5.552,8.812,87.17,3.091,90.1,CRITICAL
Node02,155,4.746,8.601,70.34,2.992,79.8,CRITICAL
Node02,156,7.157,10.807,79.64,2.727,89.2,CRITICAL
Node02,157,6.549,11.201,76.37,3.459,90.6,CRITICAL
Node02,158,7.253,10.159,84.6,3.307,92.7,CRITICAL
Node02,159,8.604,11.155,85.09,3.358,93.1,CRITICAL
Node02,160,7.044,10.448,89.67,4.405,98.0,CRITICAL
Node02,161,8.253,14.186,93.98,3.81,97.4,CRITICAL
Node02,162,10.192,11.14,96.43,4.792,100.0,CRITICAL
Node02,163,8.427,10.621,81.84,4.63,95.8,CRITICAL
Node02,164,10.782,11.177,92.03,3.096,94.4,CRITICAL
Node02,165,11.169,12.73,106.2,5.255,100.0,CRITICAL
Node02,166,9.91,11.725,130.62,3.935,98.1,CRITICAL
Node02,167,11.789,14.802,111.07,8.262,100.0,CRITICAL
Node02,168,7.961,13.461,141.19,5.691,100.0,CRITICAL
Node02,169,9.11,18.907,138.91,5.601,100.0,CRITICAL
Node02,170,12.285,15.802,99.86,5.194,100.0,CRITICAL
Node02,171,14.25,18.489,148.9,7.428,100.0,CRITICAL
Node02,172,13.558,17.478,156.28,7.047,100.0,CRITICAL
Node02,173,10.574,21.313,158.45,8.343,100.0,CRITICAL
Node02,174,13.339,14.54,158.77,5.371,100.0,CRITICAL
Node02,175,16.099,22.971,157.83,3.124,95.4,CRITICAL
Node02,176,12.831,20.519,192.55,5.83,100.0,CRITICAL
Node02,177,16.971,21.652,202.15,6.964,100.0,CRITICAL
Node02,178,17.578,22.703,163.94,8.787,100.0,CRITICAL
Node02,179,17.4,24.204,210.76,7.393,100.0,CRITICAL
Node02,180,16.774,23.152,169.08,5.585,100.0,CRITICAL
Node02,181,17.777,20.338,204.35,9.748,100.0,CRITICAL
Node02,182,14.668,21.973,216.8,5.684,100.0,CRITICAL
Node02,183,19.731,26.622,196.1,5.279,100.0,CRITICAL
Node02,184,17.481,32.931,222.09,6.197,100.0,CRITICAL
Node02,185,14.555,24.549,273.19,9.434,100.0,CRITICAL
Node02,186,23.089,27.534,211.74,5.43,100.0,CRITICAL
Node02,187,18.824,28.382,260.89,6.292,100.0,CRITICAL
Node02,188,25.424,27.689,296.76,8.055,100.0,CRITICAL
Node02,189,27.513,24.726,294.73,13.71,100.0,CRITICAL
Node02,190,20.73,41.48,270.13,3.807,97.7,CRITICAL
Node02,191,18.615,35.198,246.55,10.918,100.0,CRITICAL
Node02,192,21.54,42.028,294.91,8.945,100.0,CRITICAL
Node02,193,32.349,44.61,240.55,10.808,100.0,CRITICAL
Node02,194,30.469,42.44,316.15,6.371,100.0,CRITICAL
Node02,195,32.899,38.502,310.7,7.233,100.0,CRITICAL
Node02,196,32.554,43.662,377.52,8.337,100.0,CRITICAL
Node02,197,35.507,38.222,319.31,12.903,100.0,CRITICAL
Node02,198,35.868,35.638,371.37,6.755,100.0,CRITICAL
Node02,199,35.3,44.993,291.67,12.508,100.0,CRITICAL
Node02,200,32.252,49.417,429.34,8.532,100.0,CRITICAL
Node02,201,32.33,37.845,417.98,8.589,100.0,CRITICAL
Node02,202,38.136,49.157,338.35,14.184,100.0,CRITICAL
Node02,203,38.087,61.867,472.05,6.198,100.0,CRITICAL
Node02,204,31.678,49.759,504.84,14.509,100.0,CRITICAL
Node02,205,30.718,65.033,462.48,12.754,100.0,CRITICAL
Node02,206,50.3,65.584,388.17,15.622,100.0,CRITICAL
Node02,207,44.151,66.954,380.89,20.122,100.0,CRITICAL
Node02,208,43.821,74.774,440.22,18.445,100.0,CRITICAL
Node02,209,49.156,68.549,575.78,12.815,100.0,CRITICAL
Node02,210,44.918,78.636,575.2,16.453,100.0,CRITICAL
Node02,211,40.557,52.074,526.04,13.527,100.0,CRITICAL
Node02,212,60.766,61.206,476.4,15.953,100.0,CRITICAL
Node02,213,43.495,66.811,511.51,22.317,100.0,CRITICAL
Node02,214,55.48,73.822,519.53,28.286,100.0,CRITICAL
Node02,215,49.96,70.966,656.51,22.317,100.0,CRITICAL
Node02,216,45.105,66.096,529.18,12.398,100.0,CRITICAL
Node02,217,58.009,105.595,729.44,31.313,100.0,CRITICAL
Node02,218,51.808,75.221,536.81,20.736,100.0,CRITICAL
Node02,219,47.044,92.731,722.27,24.307,100.0,CRITICAL
Node02,220,53.106,75.032,751.35,24.258,100.0,CRITICAL
Node02,221,79.09,106.427,670.58,19.693,100.0,CRITICAL
Node02,222,75.495,75.731,923.17,21.212,100.0,CRITICAL
Node02,223,82.966,99.804,743.36,13.456,100.0,CRITICAL
Node02,224,62.466,126.741,942.14,19.028,100.0,CRITICAL
Node02,225,92.216,137.0,727.16,32.289,100.0,CRITICAL
Node02,226,65.326,112.955,825.46,41.928,100.0,CRITICAL
Node02,227,102.553,108.303,806.15,21.428,100.0,CRITICAL
Node02,228,67.447,112.357,844.5,47.694,100.0,CRITICAL
Node02,229,80.151,124.411,751.14,24.657,100.0,CRITICAL
Node02,230,100.623,122.001,962.16,13.061,100.0,CRITICAL
Node02,231,94.066,125.85,825.58,18.049,100.0,CRITICAL
Node02,232,120.038,161.565,832.18,35.521,100.0,CRITICAL
Node02,233,100.056,133.701,952.0,39.975,100.0,CRITICAL
Node02,234,89.519,127.909,987.86,37.373,100.0,CRITICAL
Node02,235,83.585,138.973,1443.18,23.711,100.0,CRITICAL
Node02,236,114.522,146.625,997.33,39.049,100.0,CRITICAL
Node02,237,108.166,182.607,1038.75,55.601,100.0,CRITICAL
Node02,238,95.191,140.648,1590.76,24.131,100.0,CRITICAL
Node02,239,125.075,151.53,1325.02,47.889,100.0,CRITICAL
Node02,240,108.291,218.404,1488.81,64.532,100.0,CRITICAL
Node02,241,140.626,174.31,1199.57,73.397,100.0,CRITICAL
Node02,242,168.565,223.946,1633.18,19.945,100.0,CRITICAL
Node02,243,160.778,150.835,1664.19,35.41,100.0,CRITICAL
Node02,244,107.346,241.698,1408.7,60.412,100.0,CRITICAL
Node02,245,132.798,189.795,1805.22,26.687,100.0,CRITICAL
Node02,246,164.035,260.152,1693.45,24.402,100.0,CRITICAL
Node02,247,195.334,192.114,1560.82,60.602,100.0,CRITICAL
Node02,248,178.627,249.806,1587.78,84.437,100.0,CRITICAL
Node02,249,183.954,204.842,1721.33,50.725,100.0,CRITICAL
Node02,250,134.367,218.131,2352.38,44.233,100.0,CRITICAL
Node02,251,208.115,286.382,2407.91,80.568,100.0,CRITICAL
Node02,252,144.389,214.737,1602.34,57.078,100.0,CRITICAL
Node02,253,218.73,222.615,2384.32,64.117,100.0,CRITICAL
Node02,254,174.392,233.685,2158.5,50.735,100.0,CRITICAL
Node02,255,169.508,252.818,2487.17,78.977,100.0,CRITICAL
Node02,256,218.303,378.21,2691.68,88.662,100.0,CRITICAL
Node02,257,225.001,368.999,2218.0,49.744,100.0,CRITICAL
Node02,258,165.07,279.638,2826.39,51.591,100.0,CRITICAL
Node02,259,283.135,371.153,3134.0,104.236,100.0,CRITICAL
Node02,260,286.115,280.301,2232.69,80.34,100.0,CRITICAL
Node02,261,185.203,314.355,2990.01,84.302,100.0,CRITICAL
Node02,262,255.742,312.828,3211.35,80.558,100.0,CRITICAL
Node02,263,217.525,320.553,3271.4,80.971,100.0,CRITICAL
Node02,264,330.149,421.408,2417.74,162.317,100.0,CRITICAL
Node02,265,293.21,441.197,3209.43,97.388,100.0,CRITICAL
Node02,266,214.84,318.747,3907.54,102.92,100.0,CRITICAL
Node02,267,359.773,376.753,2884.95,131.439,100.0,CRITICAL
Node02,268,391.487,538.468,3322.89,82.539,100.0,CRITICAL
Node02,269,363.358,446.871,3781.71,112.049,100.0,CRITICAL
Node02,270,274.445,576.102,2991.21,77.029,100.0,CRITICAL
Node02,271,340.516,520.917,3257.43,133.06,100.0,CRITICAL
Node02,272,365.111,520.81,4430.99,77.063,100.0,CRITICAL
Node02,273,334.087,538.413,4345.08,117.683,100.0,CRITICAL
Node02,274,369.83,468.126,3814.39,59.077,100.0,CRITICAL
Node02,275,438.796,666.946,3316.67,121.132,100.0,CRITICAL
Node02,276,348.267,531.229,5139.66,174.657,100.0,CRITICAL
Node02,277,394.548,492.495,5425.84,75.85,100.0,CRITICAL
Node02,278,492.927,708.229,5423.86,139.754,100.0,CRITICAL
Node02,279,488.674,676.181,4495.18,132.123,100.0,CRITICAL
Node02,280,559.172,509.454,5391.11,224.934,100.0,CRITICAL
Node02,281,523.019,570.083,6058.62,106.933,100.0,CRITICAL
Node02,282,567.226,668.724,5134.6,147.019,100.0,CRITICAL
Node02,283,527.146,675.991,6177.38,217.976,100.0,CRITICAL
Node02,284,473.484,655.163,6156.38,204.932,100.0,CRITICAL
Node02,285,545.559,833.878,4595.12,260.24,100.0,CRITICAL
Node02,286,658.342,985.815,5798.42,104.525,100.0,CRITICAL
Node02,287,632.554,744.177,7284.81,237.642,100.0,CRITICAL
Node02,288,633.863,1026.922,6315.41,290.846,100.0,CRITICAL
Node02,289,581.334,1039.907,5846.58,266.267,100.0,CRITICAL
Node02,290,648.866,1075.013,5955.77,359.216,100.0,CRITICAL
Node02,291,723.372,1056.814,6696.61,307.408,100.0,CRITICAL
Node02,292,695.13,976.856,8581.55,319.317,100.0,CRITICAL
Node02,293,522.512,1115.988,8742.83,290.559,100.0,CRITICAL
Node02,294,807.13,1077.999,7865.03,317.414,100.0,CRITICAL
Node02,295,655.834,1300.937,8107.37,170.371,100.0,CRITICAL
Node02,296,958.723,863.74,6336.66,331.893,100.0,CRITICAL
Node02,297,983.931,1120.072,8363.36,147.731,100.0,CRITICAL
Node02,298,731.613,934.321,8966.68,196.679,100.0,CRITICAL
Node02,299,631.513,1403.271,9286.74,379.692,100.0,CRITICAL
Node02,300,914.629,1401.059,8764.94,336.229,100.0,CRITICAL
Node02,301,863.008,1632.545,10204.65,248.743,100.0,CRITICAL
Node02,302,975.085,1138.899,7746.13,499.824,100.0,CRITICAL
Node02,303,1050.978,1249.341,9746.64,428.495,100.0,CRITICAL
Node02,304,807.851,1335.359,11911.12,374.365,100.0,CRITICAL
Node02,305,1198.424,1167.035,13198.49,389.888,100.0,CRITICAL
Node02,306,1064.176,1781.504,13459.73,552.428,100.0,CRITICAL
Node02,307,1008.17,1890.506,14343.78,267.28,100.0,CRITICAL
Node02,308,964.77,1801.923,11475.36,334.381,100.0,CRITICAL
Node02,309,1158.188,1553.676,13203.92,506.82,100.0,CRITICAL
Node02,310,1077.4,2019.13,15651.77,693.708,100.0,CRITICAL
Node02,311,1139.716,1620.58,16564.07,264.424,100.0,CRITICAL
Node02,312,1468.664,1480.287,11381.82,534.1,100.0,CRITICAL
Node02,313,1250.053,1722.321,11384.01,410.49,100.0,CRITICAL
Node02,314,1567.274,2084.21,13283.58,401.294,100.0,CRITICAL
Node02,315,1677.733,1725.7,18425.16,322.142,100.0,CRITICAL
Node02,316,1617.299,1612.689,15738.72,300.436,100.0,CRITICAL
Node02,317,1271.244,2349.039,13413.94,276.543,100.0,CRITICAL
Node02,318,1655.573,2041.496,13135.49,418.702,100.0,CRITICAL
Node02,319,1265.662,2761.784,13701.23,430.621,100.0,CRITICAL
Node02,320,1376.953,2664.536,21802.9,610.107,100.0,CRITICAL
Node02,321,1300.912,1995.471,19144.17,258.869,100.0,CRITICAL
Node02,322,1761.53,2622.739,16747.3,433.221,100.0,CRITICAL
Node02,323,1375.459,3180.633,17344.11,614.937,100.0,CRITICAL
Node02,324,2395.521,2683.857,24500.57,822.191,100.0,CRITICAL
Node02,325,1549.332,2556.03,25212.73,1032.736,100.0,CRITICAL
Node02,326,1979.225,3105.093,20605.04,1107.054,100.0,CRITICAL
Node02,327,2008.339,2442.232,23491.11,415.392,100.0,CRITICAL
Node02,328,2214.374,3465.782,25962.01,875.17,100.0,CRITICAL
Node02,329,2550.709,3797.121,25413.43,628.388,100.0,CRITICAL
Node02,330,2265.969,3879.585,29066.9,982.881,100.0,CRITICAL
Node02,331,2882.041,2624.407,21914.29,336.948,100.0,CRITICAL
Node02,332,1919.616,4448.344,23769.52,712.579,100.0,CRITICAL
Node02,333,2078.634,4125.913,29918.98,1079.695,100.0,CRITICAL
Node02,334,2590.85,4423.217,35445.04,1071.636,100.0,CRITICAL
Node02,335,3418.943,4206.403,34633.08,833.395,100.0,CRITICAL
Node02,336,3143.677,4324.285,29127.08,536.019,100.0,CRITICAL
Node02,337,3498.445,4281.226,28627.14,747.5,100.0,CRITICAL
Node02,338,2392.062,5183.215,26976.32,967.814,100.0,CRITICAL
Node02,339,3258.53,4584.964,32779.49,710.049,100.0,CRITICAL
Node02,340,3952.781,4034.814,40992.37,872.399,100.0,CRITICAL
Node02,341,2472.162,4491.649,37281.66,1722.552,100.0,CRITICAL
Node02,342,2839.75,4238.328,31952.42,769.568,100.0,CRITICAL
Node02,343,3121.045,4155.732,46277.1,1676.646,100.0,CRITICAL
Node02,344,3962.982,4016.019,31233.64,1024.648,100.0,CRITICAL
Node02,345,4042.389,5148.739,48628.19,750.101,100.0,CRITICAL
Node02,346,3298.111,6293.364,42721.63,1747.724,100.0,CRITICAL
Node02,347,4717.507,6014.917,54108.57,1159.395,100.0,CRITICAL
Node02,348,4703.663,5119.724,51415.67,680.871,100.0,CRITICAL
Node02,349,4458.128,7580.71,42716.03,1300.791,100.0,CRITICAL
Node02,350,3469.052,6270.753,47233.56,777.599,100.0,CRITICAL
Node02,351,4617.345,7909.908,62072.67,1384.944,100.0,CRITICAL
Node02,352,4942.298,7014.351,41591.09,1518.449,100.0,CRITICAL
Node02,353,4740.983,6005.593,63755.49,1036.659,100.0,CRITICAL
Node02,354,4176.594,8307.843,52891.15,1036.775,100.0,CRITICAL
Node02,355,5320.411,7518.307,46449.87,2388.572,100.0,CRITICAL
Node02,356,4690.557,8991.771,47220.65,3186.564,100.0,CRITICAL
Node02,357,6930.067,6817.476,69374.76,1889.935,100.0,CRITICAL
Node02,358,5874.2,9206.197,71784.79,1324.601,100.0,CRITICAL
Node02,359,4605.374,9288.307,51237.77,3068.988,100.0,CRITICAL
Node02,360,5137.784,9186.824,64237.95,2706.286,100.0,CRITICAL
Node02,361,7502.509,10327.98,74953.54,917.557,100.0,CRITICAL
Node02,362,6281.042,7529.04,68687.8,2849.013,100.0,CRITICAL
Node02,363,7887.148,8211.602,54944.19,2713.381,100.0,CRITICAL
Node02,364,7071.273,11508.843,70830.52,1927.003,100.0,CRITICAL
Node02,365,8939.245,10314.346,86365.22,1435.481,100.0,CRITICAL
Node03,1,1.061,0.284,26.54,0.677,16.7,NORMAL
Node03,2,0.93,0.509,26.66,0.498,16.1,NORMAL
Node03,3,0.995,0.636,24.73,0.403,15.9,NORMAL
Node03,4,0.928,0.113,24.67,0.45,14.2,NORMAL
Node03,5,0.903,0.084,17.56,0.333,11.4,NORMAL
Node03,6,0.87,0.112,23.11,0.721,14.4,NORMAL
Node03,7,0.959,0.967,29.58,0.787,19.4,NORMAL
Node03,8,0.911,0.273,26.96,0.93,16.9,NORMAL
Node03,9,1.134,0.754,26.15,0.568,17.9,NORMAL
Node03,10,0.949,0.669,19.39,0.535,14.5,NORMAL
Node03,11,1.028,0.345,26.33,0.59,16.4,NORMAL
Node03,12,0.765,0.0,27.01,0.669,14.6,NORMAL
Node03,13,0.969,0.062,25.99,0.358,14.4,NORMAL
Node03,14,1.029,0.32,25.39,0.408,15.4,NORMAL
Node03,15,0.915,0.301,29.7,0.342,15.9,NORMAL
Node03,16,0.916,0.296,27.8,0.055,14.4,NORMAL
Node03,17,0.865,0.321,23.08,0.449,14.0,NORMAL
Node03,18,0.895,0.509,22.62,0.398,14.4,NORMAL
Node03,19,0.9,0.399,26.29,0.712,16.3,NORMAL
Node03,20,0.989,0.168,24.13,0.402,14.4,NORMAL
Node03,21,1.028,0.351,27.35,0.657,16.9,NORMAL
Node03,22,0.953,0.195,27.15,0.519,15.6,NORMAL
Node03,23,0.973,0.095,25.8,0.587,15.2,NORMAL
Node03,24,0.815,0.316,32.41,0.627,17.3,NORMAL
Node03,25,0.968,0.62,26.65,0.353,16.2,NORMAL
Node03,26,0.981,0.292,26.89,0.449,15.7,NORMAL
Node03,27,0.834,0.357,29.02,0.587,16.3,NORMAL
Node03,28,1.128,0.222,24.88,0.289,15.1,NORMAL
Node03,29,0.935,0.139,25.64,0.555,15.0,NORMAL
Node03,30,1.128,0.366,31.35,0.386,17.8,NORMAL
Node03,31,0.863,0.199,23.08,0.454,13.7,NORMAL
Node03,32,0.894,0.21,28.27,0.455,15.5,NORMAL
Node03,33,1.126,0.659,29.89,0.525,18.6,NORMAL
Node03,34,1.046,0.219,29.67,0.766,17.8,NORMAL
Node03,35,1.074,0.166,23.23,0.637,15.3,NORMAL
Node03,36,0.88,0.247,22.57,0.503,13.9,NORMAL
Node03,37,0.991,0.207,27.19,0.541,15.9,NORMAL
Node03,38,0.936,0.141,25.52,0.44,14.6,NORMAL
Node03,39,0.724,0.173,19.6,0.501,12.0,NORMAL
Node03,40,1.013,0.0,27.52,0.705,16.1,NORMAL
Node03,41,0.989,0.115,24.48,0.431,14.4,NORMAL
Node03,42,0.903,0.496,25.34,0.382,15.2,NORMAL
Node03,43,1.08,0.0,28.97,0.385,15.8,NORMAL
Node03,44,0.951,0.588,29.86,0.769,18.4,NORMAL
Node03,45,0.964,0.116,30.74,0.602,16.9,NORMAL
Node03,46,0.998,0.654,28.79,0.335,17.0,NORMAL
Node03,47,0.911,0.0,26.82,0.452,14.5,NORMAL
Node03,48,0.945,0.186,28.09,0.801,16.8,NORMAL
Node03,49,1.106,0.0,27.53,0.787,16.8,NORMAL
Node03,50,0.982,0.271,26.64,0.41,15.4,NORMAL
Node03,51,1.067,0.413,30.77,0.87,19.1,NORMAL
Node03,52,0.952,0.622,24.67,0.682,16.6,NORMAL
Node03,53,0.804,0.734,22.06,4.46,27.9,WATCH
Node03,54,1.056,0.354,23.98,0.318,14.9,NORMAL
Node03,55,0.847,0.391,25.65,0.569,15.3,NORMAL
Node03,56,1.061,0.389,30.0,0.429,17.3,NORMAL
Node03,57,1.11,0.42,24.03,0.533,16.1,NORMAL
Node03,58,1.165,0.05,23.82,0.426,14.9,NORMAL
Node03,59,1.003,0.339,31.6,0.465,17.5,NORMAL
Node03,60,1.043,0.214,22.21,0.473,14.4,NORMAL
Node03,61,0.97,0.473,29.86,0.42,17.0,NORMAL
Node03,62,1.079,0.101,31.2,0.241,16.3,NORMAL
Node03,63,0.949,0.378,24.5,0.3,14.5,NORMAL
Node03,64,1.048,0.103,28.69,0.242,15.4,NORMAL
Node03,65,1.075,0.503,27.3,0.681,17.7,NORMAL
Node03,66,0.975,0.309,29.28,0.315,16.0,NORMAL
Node03,67,0.97,0.273,24.92,0.447,15.0,NORMAL
Node03,68,0.794,0.315,26.48,0.712,15.6,NORMAL
Node03,69,1.056,0.188,24.74,0.33,14.7,NORMAL
Node03,70,0.963,0.183,29.01,0.56,16.3,NORMAL
Node03,71,1.041,0.235,25.09,0.583,15.7,NORMAL
Node03,72,0.928,0.43,28.33,0.392,16.1,NORMAL
Node03,73,0.993,0.13,30.8,0.573,17.0,NORMAL
Node03,74,1.083,0.271,22.89,0.48,15.0,NORMAL
Node03,75,1.107,0.676,28.11,0.495,17.9,NORMAL
Node03,76,1.029,0.56,22.47,0.655,16.0,NORMAL
Node03,77,0.931,0.383,28.01,0.551,16.4,NORMAL
Node03,78,1.006,0.609,24.49,0.441,15.9,NORMAL
Node03,79,0.924,0.368,28.11,0.484,16.1,NORMAL
Node03,80,0.845,0.424,27.73,0.353,15.3,NORMAL
Node03,81,0.981,0.334,23.34,0.549,15.0,NORMAL
Node03,82,1.007,0.075,17.15,0.34,11.8,NORMAL
Node03,83,1.114,0.588,24.74,0.314,16.1,NORMAL
Node03,84,1.117,0.478,29.62,0.825,19.0,NORMAL
Node03,85,1.036,0.345,23.35,0.526,15.3,NORMAL
Node03,86,0.92,0.559,25.03,0.777,16.6,NORMAL
Node03,87,0.972,0.422,23.27,0.655,15.6,NORMAL
Node03,88,0.933,0.61,27.44,0.179,15.6,NORMAL
Node03,89,2.984,0.378,25.54,0.851,26.9,WATCH
Node03,90,0.987,0.674,24.62,0.431,16.0,NORMAL
Node03,91,1.076,0.0,27.94,0.273,15.1,NORMAL
Node03,92,0.951,0.43,26.2,0.692,16.5,NORMAL
Node03,93,0.894,0.462,25.86,0.531,15.7,NORMAL
Node03,94,1.058,0.33,22.94,0.624,15.5,NORMAL
Node03,95,1.099,0.727,24.49,0.565,17.1,NORMAL
Node03,96,0.855,0.124,20.41,0.542,12.9,NORMAL
Node03,97,0.998,0.605,23.9,0.522,16.0,NORMAL
Node03,98,0.984,0.508,22.74,0.627,15.6,NORMAL
Node03,99,1.118,0.328,21.8,0.292,14.4,NORMAL
Node03,100,0.907,0.45,29.94,0.868,18.1,NORMAL
Node03,101,0.971,0.469,24.9,0.273,14.9,NORMAL
Node03,102,0.911,0.367,20.65,0.358,13.3,NORMAL
Node03,103,0.885,0.0,23.08,0.266,12.6,NORMAL
Node03,104,1.041,0.546,31.36,0.851,19.5,NORMAL
Node03,105,1.182,0.496,20.24,0.419,15.1,NORMAL
Node03,106,1.065,0.28,23.0,0.449,14.9,NORMAL
Node03,107,1.035,0.377,26.46,0.319,15.6,NORMAL
Node03,108,0.821,0.294,22.08,0.276,12.8,NORMAL
Node03,109,0.952,0.174,24.24,0.325,14.0,NORMAL
Node03,110,1.021,0.439,29.94,0.601,17.8,NORMAL
Node03,111,0.917,0.194,25.17,0.419,14.5,NORMAL
Node03,112,0.93,0.0,25.7,0.388,14.1,NORMAL
Node03,113,0.974,0.306,24.59,0.441,15.0,NORMAL
Node03,114,1.07,0.448,24.74,0.563,16.3,NORMAL
Node03,115,0.957,0.469,21.56,0.705,15.3,NORMAL
Node03,116,1.039,0.44,26.9,0.622,17.0,NORMAL
Node03,117,1.136,0.316,32.87,0.308,18.0,NORMAL
Node03,118,1.059,0.0,28.87,0.642,16.6,NORMAL
Node03,119,1.085,0.527,24.38,0.665,16.8,NORMAL
Node03,120,1.049,0.652,25.35,0.759,17.6,NORMAL
Node03,121,1.085,0.161,23.09,0.655,15.3,NORMAL
Node03,122,1.064,0.619,26.24,0.642,17.5,NORMAL
Node03,123,1.204,0.325,27.62,0.417,17.0,NORMAL
Node03,124,1.105,0.437,24.91,0.496,16.3,NORMAL
